#filetype genotype_data
#format update_born id parent_id depth parent_dist ancestor_dist length fitness num_cpus task task total_task_count sequence alignment 

# Legend:
# 1: Update Born
# 2: Genotype ID
# 3: Parent ID
# 4: Tree Depth
# 5: Parent Distance
# 6: Ancestor Distance
# 7: Genome Length
# 8: Fitness
# 9: Number of CPUs
# 10: Xor
# 11: Equals
# 12: # Different Tasks
# 13: Genome Sequence
# 14: Aligned Sequence

-1 1 0 0 0 0 121 64.547 0 1 1 2 wzcagccccccyycoururapurcuopcuyyccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccczvfcaxgab wzcagccccccyycoururapurcuopcuyyccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccczvfcaxgab 
662 2429 1 1 1 1 121 64.9634 0 1 1 2 wzcagccccccyycoururapurcuopcuyyccvcccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccczvfcaxgab wzcagccccccyycoururapurcuopcuyyccvcccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccczvfcaxgab 
1919 17350 2429 2 1 2 121 65.1034 0 1 1 2 wzcagccccccyycoururapurcuopcuyyccvcccccccccccccccccccccccccccccccccccccccccccccccccccccccncccccccccccccccccccccczvfcaxgab wzcagccccccyycoururapurcuopcuyyccvcccccccccccccccccccccccccccccccccccccccccccccccccccccccncccccccccccccccccccccczvfcaxgab 
2131 19793 17350 3 1 3 121 65.5271 0 1 1 2 wzcagccccccyycoururapurcuopcuyyccvcccccccccccccccccccccccccccccccvcccccccccccccccccccccccncccccccccccccccccccccczvfcaxgab wzcagccccccyycoururapurcuopcuyyccvcccccccccccccccccccccccccccccccvcccccccccccccccccccccccncccccccccccccccccccccczvfcaxgab 
3856 40360 19793 4 1 4 121 65.5271 0 1 1 2 wzcagccccccyycoururapurcuopcuyyccvccccccccccccccccccccccccccbccccvcccccccccccccccccccccccncccccccccccccccccccccczvfcaxgab wzcagccccccyycoururapurcuopcuyyccvccccccccccccccccccccccccccbccccvcccccccccccccccccccccccncccccccccccccccccccccczvfcaxgab 
4625 49479 40360 5 1 5 121 65.6696 0 1 1 2 wzcagccccccyycoururapurcuopcuyyccvccccccccccccccccccccccccccbccccvcccccccccccccccccccccccncccccccccccckccccccccczvfcaxgab wzcagccccccyycoururapurcuopcuyyccvccccccccccccccccccccccccccbccccvcccccccccccccccccccccccncccccccccccckccccccccczvfcaxgab 
5058 54760 49479 6 1 6 121 65.8126 0 1 1 2 wzcagccccccyycoururapurcuopcuyyccvccccccccccccccccccccccccccbccccvccccccuccccccccccccccccncccccccccccckccccccccczvfcaxgab wzcagccccccyycoururapurcuopcuyyccvccccccccccccccccccccccccccbccccvccccccuccccccccccccccccncccccccccccckccccccccczvfcaxgab 
5221 56691 54760 7 1 7 121 65.9563 0 1 1 2 wzcagccccccyycoururapurcuopcuyyccvccccccccccccccccccccccccccbycccvccccccuccccccccccccccccncccccccccccckccccccccczvfcaxgab wzcagccccccyycoururapurcuopcuyyccvccccccccccccccccccccccccccbycccvccccccuccccccccccccccccncccccccccccckccccccccczvfcaxgab 
5457 59523 56691 8 1 8 121 66.1007 0 1 1 2 wzcagccccccyycoururapurcuopcuyyccvccccccccccccccccccccccccccbycccvccccccuccccccccccccccccncjcccccccccckccccccccczvfcaxgab wzcagccccccyycoururapurcuopcuyyccvccccccccccccccccccccccccccbycccvccccccuccccccccccccccccncjcccccccccckccccccccczvfcaxgab 
5884 64703 59523 9 1 9 121 66.1007 0 1 1 2 wzcagccccccyycoururapurcuopcuyyccvccccccccccccccccccccccccccbycccvacccccuccccccccccccccccncjcccccccccckccccccccczvfcaxgab wzcagccccccyycoururapurcuopcuyyccvccccccccccccccccccccccccccbycccvacccccuccccccccccccccccncjcccccccccckccccccccczvfcaxgab 
