#filetype genotype_data
#format update_born id parent_id depth parent_dist ancestor_dist length fitness num_cpus task task total_task_count sequence alignment 

# Legend:
# 1: Update Born
# 2: Genotype ID
# 3: Parent ID
# 4: Tree Depth
# 5: Parent Distance
# 6: Ancestor Distance
# 7: Genome Length
# 8: Fitness
# 9: Number of CPUs
# 10: Xor
# 11: Equals
# 12: # Different Tasks
# 13: Genome Sequence
# 14: Aligned Sequence

-1 1 0 0 0 0 121 64.547 0 1 1 2 wzcagccccccyycoururapurcuopcuyyccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccczvfcaxgab wzcagccccccyycoururapurcuopcuyyccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccczvfcaxgab 
110 6 1 1 1 1 121 64.6852 0 1 1 2 wzcagccccccyycoururapurcuopcuyyccccccccccccccccccccccccccccccccccycccccccccccccccccccccccccccccccccccccccccccccczvfcaxgab wzcagccccccyycoururapurcuopcuyyccccccccccccccccccccccccccccccccccycccccccccccccccccccccccccccccccccccccccccccccczvfcaxgab 
189 46 6 2 1 2 121 64.6852 0 1 1 2 wzcagccccccyycoururapurcuopcuyycccccccccccccccccccccccccccqccccccycccccccccccccccccccccccccccccccccccccccccccccczvfcaxgab wzcagccccccyycoururapurcuopcuyycccccccccccccccccccccccccccqccccccycccccccccccccccccccccccccccccccccccccccccccccczvfcaxgab 
423 648 46 3 1 3 121 64.824 0 1 1 2 wzcagccccccyycoururapurcuopcuyyccccccccccccccsccccccccccccqccccccycccccccccccccccccccccccccccccccccccccccccccccczvfcaxgab wzcagccccccyycoururapurcuopcuyyccccccccccccccsccccccccccccqccccccycccccccccccccccccccccccccccccccccccccccccccccczvfcaxgab 
688 2977 648 4 1 4 121 64.824 0 1 1 2 wzcagccccccyycoururapurcuopcuyyccccccccccccccsgcccccccccccqccccccycccccccccccccccccccccccccccccccccccccccccccccczvfcaxgab wzcagccccccyycoururapurcuopcuyyccccccccccccccsgcccccccccccqccccccycccccccccccccccccccccccccccccccccccccccccccccczvfcaxgab 
748 3759 2977 5 1 5 121 64.824 0 1 1 2 wzcagccccccyycoururapurcuopcuyyccccccccccccccsgcccccccccacqccccccycccccccccccccccccccccccccccccccccccccccccccccczvfcaxgab wzcagccccccyycoururapurcuopcuyyccccccccccccccsgcccccccccacqccccccycccccccccccccccccccccccccccccccccccccccccccccczvfcaxgab 
989 6572 3759 6 1 6 121 2.03011 0 1 0 1 wzcagccccccyycoururapurcuopcuayccccccccccccccsgcccccccccacqccccccycccccccccccccccccccccccccccccccccccccccccccccczvfcaxgab wzcagccccccyycoururapurcuopcuayccccccccccccccsgcccccccccacqccccccycccccccccccccccccccccccccccccccccccccccccccccczvfcaxgab 
1270 9759 6572 7 1 7 121 2.03448 0 1 0 1 wzcagccccccyycoururapurcuopcuayccccccccccccccsgcccccccccacqccccccycccccccccccccccccucccccccccccccccccccccccccccczvfcaxgab wzcagccccccyycoururapurcuopcuayccccccccccccccsgcccccccccacqccccccycccccccccccccccccucccccccccccccccccccccccccccczvfcaxgab 
1530 12952 9759 8 1 8 121 65.1034 0 1 1 2 wzcagccccccyycoururapurcuopcuayrcccccccccccccsgcccccccccacqccccccycccccccccccccccccucccccccccccccccccccccccccccczvfcaxgab wzcagccccccyycoururapurcuopcuayrcccccccccccccsgcccccccccacqccccccycccccccccccccccccucccccccccccccccccccccccccccczvfcaxgab 
1553 13230 12952 9 1 9 121 65.2441 0 1 1 2 wzcagccccccyycoururapurcuopcuayrcccccccccccccsgcccccccccacqccccccycccccccccccccccccucccccccccccncccccccccccccccczvfcaxgab wzcagccccccyycoururapurcuopcuayrcccccccccccccsgcccccccccacqccccccycccccccccccccccccucccccccccccncccccccccccccccczvfcaxgab 
