#filetype genotype_data
#format update_born id parent_id depth parent_dist ancestor_dist length fitness num_cpus task task total_task_count sequence alignment 

# Legend:
# 1: Update Born
# 2: Genotype ID
# 3: Parent ID
# 4: Tree Depth
# 5: Parent Distance
# 6: Ancestor Distance
# 7: Genome Length
# 8: Fitness
# 9: Number of CPUs
# 10: Xor
# 11: Equals
# 12: # Different Tasks
# 13: Genome Sequence
# 14: Aligned Sequence

2543 24714 24482 14 1 14 121 64.9718 0 1 1 2 wzcagccdcccyycoururapurcuopcujyccccccccccccccccccccccccccqcjcccccccccccccccqcccccmeccccccycccsccccccnccccqccccnyzvfcaxgab wzcagccdcccyycoururapurcuopcujyccccccccccccccccccccccccccqcjcccccccccccccccqcccccmeccccccycccsccccccnccccqccccnyzvfcaxgab 
2548 24773 24714 15 1 15 121 65.113 0 1 1 2 wzcagccdcccyycoururapurcuopcujyccccccccccccccccccccccccccqcjcccccccccccccccqcccccmeccccccyctcsccccccnccccqccccnyzvfcaxgab wzcagccdcccyycoururapurcuopcujyccccccccccccccccccccccccccqcjcccccccccccccccqcccccmeccccccyctcsccccccnccccqccccnyzvfcaxgab 
2578 25143 24773 16 1 16 121 65.2549 0 1 1 2 wzcagccdcccyycoururapurcuopcujyccccccccccccccccccccccccccqcjcccccccccpcccccqcccccmeccccccyctcsccccccnccccqccccnyzvfcaxgab wzcagccdcccyycoururapurcuopcujyccccccccccccccccccccccccccqcjcccccccccpcccccqcccccmeccccccyctcsccccccnccccqccccnyzvfcaxgab 
2643 25906 25143 17 1 17 121 62.439 0 1 1 2 wzcagccdcccyycoururapurcuopcujyccccccccccccccccccfcccccccqcjcccccccccpcccccqcccccmeccccccyctcsccccccnccccqccccnyzvfcaxgab wzcagccdcccyycoururapurcuopcujyccccccccccccccccccfcccccccqcjcccccccccpcccccqcccccmeccccccyctcsccccccnccccqccccnyzvfcaxgab 
2655 26031 25906 18 1 18 121 62.439 0 1 1 2 wzcagccdcccyycoururapurcuopcujyccccccccccccccccccfcccccccqcjcccccccccpcccccqcccccmeccccccrctcsccccccnccccqccccnyzvfcaxgab wzcagccdcccyycoururapurcuopcujyccccccccccccccccccfcccccccqcjcccccccccpcccccqcccccmeccccccrctcsccccccnccccqccccnyzvfcaxgab 
3006 30244 26031 19 1 19 121 1.92857 0 1 0 1 wzcagccdcccyycoururapurcuopcujyccccccccccccccccccfcccccccqcjcccccccccpcccccqcccccmeccccccrctcsccccccnccccqzcccnyzvfcaxgab wzcagccdcccyycoururapurcuopcujyccccccccccccccccccfcccccccqcjcccccccccpcccccqcccccmeccccccrctcsccccccnccccqzcccnyzvfcaxgab 
3073 31013 30244 20 1 20 121 2.01754 0 1 0 1 wzcagccdcccyycoururapurcuopcujyccccccccccccccccccacccccccqcjcccccccccpcccccqcccccmeccccccrctcsccccccnccccqzcccnyzvfcaxgab wzcagccdcccyycoururapurcuopcujyccccccccccccccccccacccccccqcjcccccccccpcccccqcccccmeccccccrctcsccccccnccccqzcccnyzvfcaxgab 
3150 31959 31013 21 1 21 121 2.02198 0 1 0 1 wzcagccdcccyycoururapurcuopcujyccccccccccccccccccacccccccqcjccsccccccpcccccqcccccmeccccccrctcsccccccnccccqzcccnyzvfcaxgab wzcagccdcccyycoururapurcuopcujyccccccccccccccccccacccccccqcjccsccccccpcccccqcccccmeccccccrctcsccccccnccccqzcccnyzvfcaxgab 
3464 35803 31959 22 1 22 121 2.02198 0 1 0 1 wzcagccdcccyycoururapurcuopcujyccccccccccccccccccacccccccqcjccsccccccpcccccqcccccmeccccxcrctcsccccccnccccqzcccnyzvfcaxgab wzcagccdcccyycoururapurcuopcujyccccccccccccccccccacccccccqcjccsccccccpcccccqcccccmeccccxcrctcsccccccnccccqzcccnyzvfcaxgab 
3538 36701 35803 23 1 23 121 65.3974 0 1 1 2 wzcagccdcccyycoururapurcuopcujyccccccccccccccccccacccccccqcjccsccccccpcccccqcccccmeccccxcrctcsccccccnccccqwcccnyzvfcaxgab wzcagccdcccyycoururapurcuopcujyccccccccccccccccccacccccccqcjccsccccccpcccccqcccccmeccccxcrctcsccccccnccccqwcccnyzvfcaxgab 
