# Avida tasks data
# Sat Apr  7 14:20:53 2012
# First column gives the current update, next columns give the number
# of organisms that have the particular task as a component of their merit
#  1: Update
#  2: Xor
#  3: Equals

0 0 0 
50 8 8 
100 41 41 
150 121 121 
200 243 243 
250 445 446 
300 674 674 
350 962 962 
400 1309 1306 
450 1730 1732 
500 2200 2205 
550 2708 2709 
600 3223 3221 
650 3427 3434 
700 3533 3537 
750 3527 3525 
800 3542 3542 
850 3544 3542 
900 3543 3544 
950 3538 3544 
1000 3532 3535 
1050 3205 2786 
1100 3445 2390 
1150 3432 1973 
1200 3429 1595 
1250 3422 1290 
1300 3409 1037 
1350 3427 836 
1400 3452 657 
1450 3460 459 
1500 3462 297 
1550 3484 200 
1600 3498 129 
1650 3516 585 
1700 3515 1123 
1750 3517 1534 
1800 3518 1855 
1850 3499 2118 
1900 3514 2474 
1950 3532 2778 
2000 3544 3026 
2050 3329 2120 
2100 3413 1313 
2150 3485 761 
2200 3515 446 
2250 3512 228 
2300 3519 91 
2350 3536 31 
2400 3546 9 
2450 3556 3 
2500 3551 1 
2550 3536 90 
2600 3530 790 
2650 3546 1294 
2700 3545 1687 
2750 3539 2048 
2800 3553 2384 
2850 3545 2708 
2900 3526 2951 
2950 3527 3139 
3000 3534 3298 
3050 3329 2254 
3100 3410 1304 
3150 3453 770 
3200 3457 436 
3250 3478 237 
3300 3531 136 
3350 3560 49 
3400 3543 25 
3450 3537 6 
3500 3532 13 
3550 3555 4 
3600 3538 621 
3650 3529 1244 
3700 3526 1757 
3750 3539 2291 
3800 3542 2652 
3850 3544 2937 
3900 3542 3150 
3950 3536 3304 
4000 3526 3410 
4050 3296 2262 
4100 3401 1341 
4150 3457 837 
4200 3488 489 
4250 3521 239 
4300 3557 121 
4350 3545 38 
4400 3545 9 
4450 3528 6 
4500 3555 4 
4550 3543 1 
4600 3498 236 
4650 3498 810 
4700 3494 1340 
4750 3486 1794 
4800 3482 2110 
4850 3504 2426 
4900 3516 2672 
4950 3525 2881 
5000 3535 3055 
5050 3347 2331 
5100 3437 1482 
5150 3459 889 
5200 3513 495 
5250 3538 214 
5300 3532 79 
5350 3550 35 
5400 3545 17 
5450 3546 3 
5500 3541 1 
5550 3541 419 
5600 3539 932 
5650 3538 1375 
5700 3539 1763 
5750 3534 2084 
5800 3532 2392 
5850 3554 2710 
5900 3558 2978 
5950 3559 3162 
6000 3562 3292 
6050 3298 2399 
6100 3387 1562 
6150 3449 1017 
6200 3481 613 
6250 3547 371 
6300 3545 229 
6350 3554 131 
6400 3536 75 
6450 3543 24 
6500 3553 7 
6550 3544 11 
6600 3509 397 
6650 3508 1049 
6700 3524 1483 
6750 3517 1852 
6800 3539 2226 
6850 3538 2564 
6900 3517 2844 
6950 3534 3114 
7000 3530 3265 
7050 3277 2458 
7100 3372 1630 
7150 3433 1064 
7200 3470 658 
7250 3507 442 
7300 3524 270 
7350 3539 120 
7400 3547 43 
7450 3548 13 
7500 3553 3 
7550 3536 22 
7600 3409 152 
7650 3205 535 
7700 3161 1175 
7750 3209 1674 
7800 3302 2098 
7850 3341 2427 
7900 3438 2739 
7950 3473 3009 
8000 3508 3196 
8050 3312 2360 
8100 3410 1455 
8150 3462 886 
8200 3477 547 
8250 3509 348 
8300 3539 237 
8350 3546 124 
8400 3557 58 
8450 3558 19 
8500 3551 13 
8550 3555 389 
8600 3555 949 
8650 3535 1368 
8700 3538 1733 
8750 3534 2092 
8800 3540 2413 
8850 3550 2685 
8900 3548 2890 
8950 3534 3003 
9000 3533 3139 
9050 3355 2386 
9100 3440 1402 
9150 3495 848 
9200 3515 528 
9250 3527 313 
9300 3549 193 
9350 3542 89 
9400 3548 23 
9450 3552 9 
9500 3545 7 
9550 3560 405 
9600 3555 1008 
9650 3544 1523 
9700 3541 1955 
9750 3544 2322 
9800 3552 2629 
9850 3544 2866 
9900 3549 3052 
9950 3531 3179 
10000 3542 3305 
10050 3339 2242 
10100 3473 1123 
10150 3505 601 
10200 3533 291 
10250 3541 128 
10300 3553 63 
10350 3539 28 
10400 3534 11 
10450 3537 5 
10500 3555 7 
10550 3552 407 
10600 3544 977 
10650 3550 1500 
10700 3552 1937 
10750 3544 2396 
10800 3555 2751 
10850 3526 3008 
10900 3552 3237 
10950 3543 3365 
11000 3549 3449 
11050 3255 2564 
11100 3350 1682 
11150 3391 1064 
11200 3486 835 
11250 3493 649 
11300 3509 460 
11350 3503 338 
11400 3523 236 
11450 3523 143 
11500 3530 77 
11550 3547 446 
11600 3545 969 
11650 3541 1401 
11700 3562 1756 
11750 3551 2094 
11800 3550 2433 
11850 3539 2696 
11900 3543 2941 
11950 3544 3123 
12000 3550 3246 
12050 3307 2399 
12100 3386 1504 
12150 3447 928 
12200 3459 539 
12250 3498 323 
12300 3508 181 
12350 3538 85 
12400 3540 25 
12450 3550 7 
12500 3546 2 
12550 3540 74 
12600 3532 679 
12650 3530 1147 
12700 3537 1564 
12750 3531 1938 
12800 3526 2308 
12850 3557 2673 
12900 3563 2935 
12950 3553 3111 
13000 3524 3225 
13050 3283 2507 
13100 3368 1775 
13150 3424 1321 
13200 3476 1001 
13250 3543 794 
13300 3547 589 
13350 3540 428 
13400 3528 264 
13450 3541 147 
13500 3555 60 
13550 3552 20 
13600 3555 589 
13650 3556 1049 
13700 3557 1525 
13750 3566 1954 
13800 3559 2342 
13850 3561 2666 
13900 3557 2960 
13950 3557 3188 
14000 3550 3313 
14050 3247 2529 
14100 3309 1833 
14150 3350 1388 
14200 3496 1248 
14250 3506 983 
14300 3505 690 
